Bug	10A	11A	12A	13A	14A	15A	16A	17A	18A	19A	1A	20A	21A	22A	23A	24A	25A	26A	27A	28A	29A	2A	30A	31A	32A	33A	34A	35A	36A	37A	38A	39A	3A	40A	41A	42A	43A	44A	45A	46A	47A	48A	49A	4A	50A	51A	52A	53A	54A	55A	5A	6A	7A	8A	9A
FCMP.c-25.2169	0.249891	0.779732	0.748532	0.536974	0.019189	0.020347	0.001144	0.012438	0.005508	0.001025	0.298008	0.553787	0.033233	0.006935	0.012506	0.276948	0.02308	0.005867	0.003687	0.283237	0.006685	0.018598	0.01204	0.013071	0.38732	0.379201	0.014254	0.343054	0.010303	0.401345	0.0704	0.239282	0.181623	0.54658	0.123884	0.000452	0.025517	0.268882	0.011188	0.311574	0.698389	0.014094	0.02065	0.03731	0.008272	0.748312	0.023122	0.062672	0.580626	0.008175	0.068124	0.137592	0.01238	0.419582	0.248866
FCMP.c-19.7663	0.120075	0.296873	0.041373	0.001304	0.156164	0.096561	0.002436	0.002446	0.821537	0.004107	0.061215	0.018995	0.110738	0.020214	0.244463	0.019356	0.002341	0.003044	0.005507	0.010964	0.001553	0.12001	0.006898	0.001423	0.024807	0.004192	0.002967	0.005631	0.467824	0.021802	0.043496	0.033206	0.062274	0.048061	0.197375	0.000877	0.082708	0.042018	0.01931	0.017432	0.001178	0.032012	0.163296	0.298396	0.004305	0.005391	0.002541	0.003644	0.003193	0.246861	0.005281	0.492431	0.007563	0.012181	0.044914
FCMP.c-30.2581	0.011234	0.234008	0.06663	0.005845	0.010433	0.010799	0.000255	0.297398	0.008234	0.003351	0.555485	0.00919	0.011846	0.739379	0.497272	0.005533	0.009267	0.002568	0.003267	0.001613	0.003454	0.252814	0.006167	0.006807	0.00682	0.009117	0.010368	0.013364	0.00468	0.325198	0.010456	0.058246	0.06733	0.765106	0.005058	3.3e-05	0.01358	0.006327	0.00093	0.011074	0.005894	0.046309	0.262663	0.866783	0.006206	0.50733	0.071533	0.002247	0.012341	0.007258	0.976412	0.008189	0.005143	0.006108	0.007016
FCMP.c-30.1366	0.270485	0.077742	0.036379	0.010197	0.017951	0.009757	0.092442	0.177937	0.001594	0.000651	0.197746	0.047761	0.024028	0.032343	0.129127	0.025928	0.027273	0.053523	0.007662	0.015535	0.002538	0.521249	0.047317	0.034292	0.230151	0.01506	0.185483	0.226659	0.02745	0.038694	0.064811	0.036345	0.173039	0.046337	0.030532	2e-04	0.332013	0.634683	0.019785	0.023281	0.015992	0.345328	0.198161	0.329117	0.013035	0.09371	0.100868	0.036504	0.55846	0.024064	0.176402	0.119642	0.136791	0.010814	0.09251
FCMP.c-17.2697	0.715066	0.377072	0.407623	0.102171	0.304789	0.265587	0.092698	0.045166	0.044117	0.032043	0.601262	0.155146	0.237295	0.323665	0.406676	0.409062	0.570463	0.083726	0.025112	0.290186	0.035501	0.550229	0.328804	0.190646	0.407463	0.240714	0.05396	0.342443	0.279016	0.187023	0.189255	0.180735	0.492745	0.287565	0.199528	0.002097	0.38958	0.560654	0.395245	0.165063	0.166421	0.465225	0.470382	0.112706	0.450679	0.215961	0.180264	0.324335	0.152349	0.11162	0.064421	0.219019	0.102537	0.084165	0.68696
FCMP.c-30.1458	0.172093	0.125528	0.072619	0.513953	0.153244	0.086491	0.066184	0.068066	0.221761	0.25754	0.225971	0.221255	0.142137	0.129656	0.120253	0.213125	0.095584	0.134989	0.031628	0.232735	0.890798	0.229879	0.29696	0.137479	0.14044	0.163297	0.186548	0.205995	0.382187	0.152179	0.145732	0.181871	0.073535	0.122589	0.180159	0.003157	0.192057	0.17482	0.295651	0.078545	0.134424	0.145031	0.133783	0.185853	0.561871	0.145526	0.226193	0.2088	0.215778	0.539825	0.093706	0.10419	0.176814	0.107704	0.216441
FCMP.c-23.6011	0.381752	0.409778	0.184344	0.008103	0.12924	0.072332	0.005821	0.045361	0.00464	0.005537	0.595602	0.313886	0.348363	0.364619	0.365532	0.219254	0.766742	0.867407	0.004488	0.800721	0.005906	0.673586	0.056223	0.473707	0.646612	0.225326	0.682775	0.520565	0.010781	0.438273	0.49323	0.708054	0.421462	0.519067	0.724144	0.001166	0.554108	0.600079	0.228344	0.162693	0.614775	0.226074	0.533977	0.007906	0.342096	0.41694	0.372087	0.881176	0.343247	0.336406	0.170871	0.516656	0.322159	0.601175	0.682131
FCMP.c-19.2332	0.027865	0.089838	0.107729	0.00666	0.201049	0.1666	0.009333	0.011344	0.161867	0.000682	0.302182	0.018158	0.0273	0.049707	0.026414	0.037202	0.045852	0.243064	0.008115	0.016613	0.006888	0.200425	0.024834	0.016952	0.163437	0.023106	0.028975	0.031347	0.180828	0.029724	0.028392	0.020189	0.384216	0.111995	0.02662	0.000325	0.128529	0.617819	0.020624	0.017375	0.014936	0.03098	0.038362	0.392696	0.020097	0.264117	0.031382	0.021203	0.17892	0.009778	0.021426	0.262825	0.407154	0.001167	0.058277
FCMP.c-24.8312	0.465205	0.133234	0.373395	0.183847	0.251907	0.249092	0.003162	0.065885	0.186654	0.03413	0.395389	0.20235	0.246307	0.087048	0.20125	0.425383	0.311524	0.495422	0.007733	0.298932	0.008121	0.670604	0.419572	0.180284	0.162838	0.186827	0.251568	0.420075	0.439757	0.171768	0.183065	0.127707	0.302277	0.335276	0.2504	0.001643	0.267261	0.402562	0.284555	0.127191	0.16434	0.109182	0.194263	0.065036	0.388453	0.178789	0.053064	0.095024	0.125418	0.344843	0.251634	0.268873	0.074704	0.010332	0.489582
FCMP.c-22.6371	0.230703	0.06635	0.129248	0.006533	0.07966	0.044313	0.008701	0.115924	0.007472	0.008481	0.099788	0.080193	0.18575	0.321553	0.086816	0.059959	0.022319	0.186308	0.008994	0.251344	0.008518	0.43436	0.20077	0.022158	0.223556	0.017548	0.026093	0.236939	0.851166	0.113621	0.035106	0.176982	0.109698	0.155744	0.078087	0.000969	0.180856	0.266035	0.038	0.199326	0.234242	0.105353	0.158485	0.17835	0.140529	0.083539	0.174937	0.167538	0.114109	0.124865	0.01768	0.074578	0.122671	0.013364	0.058147
