Bug	10A	11A	12A	13A	14A	15A	16A	17A	18A	19A	1A	20A	21A	22A	23A	24A	25A	26A	27A	28A	29A	2A	30A	31A	32A	33A	34A	35A	36A	37A	38A	39A	3A	40A	41A	42A	43A	44A	45A	46A	47A	48A	49A	4A	50A	51A	52A	53A	54A	55A	5A	6A	7A	8A	9A
FCMP-27A_17.29	0.857047	0.559967	0.315577	0.101175	0.370176	0.271128	0.014126	0.096133	0.003432	13.566125	0.764557	0.122946	0.442154	0.672052	0.213352	2.327328	0.374056	0.717668	102.859088	0.475576	1.47936	2.99239	0.430663	0.326212	0.371787	1.155869	0.517796	0.337986	0.749554	0.082386	0.530445	0.482537	0.243807	0.466551	1.568012	0.093699	2.087277	0.677071	0.236618	0.106855	0.337882	0.208495	0.165691	1.297344	0.503648	0.381367	0.147017	0.172165	0.211687	0.113373	1.97282	0.572486	0.729899	1.833443	1.558199
FCMP-27A_19.112	0.522441	0.147636	0.394383	0.021593	0.078622	0.096133	0.020072	0.012523	0.014888	0.022301	0.047895	0.007078	0.258937	0.017842	0.010484	0.007276	0.239206	0.013868	6.45968	0.019944	0.045562	0.424601	0.134314	0.016948	0.087446	0.017251	0.039013	0.240195	0.885448	0.073322	0.019284	0.022901	0.164623	0.593926	0.086488	0.000212	0.021087	0.42537	0.01116	0.013174	0.009773	0.010553	0.13181	0.009132	0.006999	0.094787	0.025692	0.028279	0.129575	0.142389	0.356732	0.017998	0.013582	0.017712	0.378804
FCMP-27A_30.75	0.521427	0.049952	0.006721	0.010768	0.175352	0.167991	5.892143	0.049069	0.012115	0.013808	0.008783	0.24218	0.093448	0.010375	0.500194	0.132713	1.495934	0.352799	9.469009	2.839189	1.390573	0.427874	0.015846	0.547553	0.009019	0.074568	0.648005	0.68143	0.029872	0.011586	0.061154	0.453452	0.315774	0.024017	0.268371	0.001092	0.070302	0.028513	0.008036	0.008757	0.010237	0.008668	0.254962	0.016967	0.044351	0.013312	0.01333	0.016525	0.015486	0.501542	0.260663	0.305746	0.00803	0.286839	0.053039
FCMP-27A_18.45	0.138051	0.281237	0.066978	0.385591	0.741382	0.456846	0.165903	0.22939	0.123261	6.481973	0.112591	0.044151	0.086745	0.138463	0.086976	0.023874	0.096318	0.021729	12.507025	0.57503	0.276861	0.146168	0.060973	0.516826	0.14261	0.049941	0.040453	0.069357	0.159742	0.957222	0.365031	0.137323	0.05925	0.108542	0.061954	0.011428	0.042987	0.134809	0.017234	0.181515	0.032941	0.178058	0.23577	1.006988	0.022216	0.077825	0.036091	0.03123	0.579897	0.500595	0.089606	0.131215	0.250342	0.831892	0.04165
FCMP-27A_17.65	0.196271	0.171668	0.055831	0.148192	2.788833	2.877107	0.006518	0.038692	0.094489	0.457459	0.034409	0.037133	0.058125	0.038628	0.053859	0.041698	0.623821	0.197179	6.789182	0.101859	0.099728	0.248986	0.164982	0.057574	0.04753	0.092385	0.108634	0.076656	0.052285	0.151492	0.530931	0.077619	0.168686	0.098146	0.07192	0.000928	0.100234	0.077536	0.044898	0.059257	0.040377	0.034495	0.163406	0.397486	0.043892	0.018842	0.130285	0.074836	0.01662	0.067489	0.296697	0.136379	0.158499	1.305965	0.161941
FCMP-27A_21b.41	0.095497	0.384306	0.136941	0.214403	0.589605	0.518702	0.037368	0.175484	0.015839	3.971593	0.148846	0.093464	0.154834	0.162006	0.045863	0.018404	0.226423	0.084725	10.560432	1.495592	0.885181	0.311713	0.083505	0.299525	0.07436	0.049505	0.033101	0.12719	0.207424	0.589457	1.455235	0.059028	0.508524	0.531312	0.307684	0.003377	0.237124	0.123106	0.108347	0.057679	2.445522	0.05035	0.18334	0.046692	0.107156	0.093299	0.074422	0.195048	0.661998	0.145827	3.660812	0.610661	0.150878	0.93281	0.079013
FCMP-27A_15.133	0.065296	0.02676	0.011745	0.014048	0.017052	0.019415	0.002179	0.058389	0.007903	0.010635	0.157693	0.006584	0.018148	0.087899	0.077172	0.046127	0.009739	0.012722	15.851221	0.006579	0.00292	0.031667	0.016823	0.222114	0.010911	0.03687	0.023748	0.132062	0.004249	0.013093	0.030085	0.01659	0.035263	0.124496	1.699242	0.000303	0.079644	0.022547	0.026105	0.007439	0.01555	0.042282	0.025964	0.015179	0.034814	0.005859	0.018875	0.033861	0.010163	0.441722	0.038415	0.041129	0.036906	0.01015	0.023525
FCMP-27A_25.46	0.074995	0.058799	0.087809	0.072582	0.064251	0.092204	0.005541	0.030818	0.092359	0.023774	0.087276	0.020337	0.060261	0.074414	0.041505	0.102567	0.073881	0.16505	7.935293	0.058596	0.038596	0.081703	0.03898	0.051055	0.036391	0.078438	0.068071	0.062315	0.032029	0.040086	0.036667	0.044865	0.093077	0.08304	0.07105	0.000558	0.064287	0.056465	0.02027	0.042137	0.041818	0.052183	0.046636	0.037154	0.022486	0.049238	0.020383	0.035458	0.032794	0.030769	0.063769	0.049327	0.047012	0.06216	0.109599
FCMP-27A_18.113	0.258281	1.922584	0.970065	1.660038	0.807748	0.809857	1.093413	1.39043	0.16669	1.07078	0.159656	2.898798	0.164722	0.150131	0.34028	0.365337	1.511572	0.023982	8.172789	1.796805	1.116516	0.344515	0.117057	0.973833	0.131024	0.686715	2.102725	1.245273	0.083192	1.677406	0.165504	0.211917	0.359962	0.169041	1.42041	0.00034	0.318322	0.150371	0.118843	2.025298	1.335358	0.584076	1.039988	4.475795	0.076635	0.335186	0.648404	0.569595	0.131563	0.240758	2.47448	0.896357	0.636592	1.110251	0.226801
FCMP-27A_20b.76	0.549477	2.42092	0.310087	3.118285	3.588772	3.391326	0.093032	0.150783	0.014419	0.092792	0.155991	2.457176	0.316619	0.31044	0.336503	0.207141	0.860606	3.56172	10.37854	4.390202	0.63581	0.252912	2.315138	1.226268	1.089006	0.772652	3.608003	0.434877	0.050131	0.567282	3.565647	2.27218	0.713675	0.375473	0.901135	0.006868	0.631587	0.32188	3.829192	9.115268	0.229619	0.410163	0.393061	0.134019	0.218529	0.08106	0.204371	0.173937	0.119232	0.145104	0.277992	0.414864	0.923788	0.869543	0.308673
FCMP-27A_18b.129	0.11702	0.090821	0.044946	0.050241	0.052109	0.03219	0.011728	0.345292	0.005483	0.106804	0.051382	0.065561	0.029095	0.024068	0.038221	0.009161	0.031853	0.013382	7.78571	0.348418	0.128316	0.093743	0.030301	0.013957	0.022907	0.031857	0.04564	0.031599	0.041892	0.100667	0.035955	0.024943	0.04572	0.027985	0.062915	0.000156	0.022118	0.081612	0.018241	0.01772	0.049681	0.064975	0.122089	0.01691	0.022094	0.141049	0.019097	0.034063	0.033555	0.068124	0.106343	0.137912	0.144805	0.026048	0.043008
FCMP-27A_15.127	0.652069	0.158543	0.413922	0.593977	0.62886	0.627441	0.003235	0.403267	0.397279	0.029857	0.257127	0.091913	0.035741	0.640456	0.081838	0.130316	0.005072	0.016143	37.468496	0.919863	0.170811	0.092787	0.144778	0.096591	0.507578	0.830495	1.095214	0.675008	0.009334	0.16733	0.021355	0.399629	0.27662	0.10209	0.135207	0.000375	0.11884	0.009552	0.316643	0.102742	0.816716	0.284323	0.02873	2.387755	0.556686	1.699612	0.407316	0.216851	0.390667	3.515819	0.171687	0.10184	0.055964	0.079705	0.044688
FCMP-27A_20.18	0.990696	3.816091	0.231361	2.367107	0.704048	0.732086	1.455544	2.364331	0.324411	3.92844	0.086397	0.392095	0.108737	0.087454	2.675223	0.233015	3.49104	2.545949	74.860761	1.230955	3.959646	0.75009	0.172132	0.144438	0.730473	0.083692	2.603457	0.299618	0.327582	1.810642	0.080696	1.341118	0.296326	1.301279	0.18913	0.000653	0.117535	0.09587	0.099645	0.430785	0.221123	0.072616	1.0086	0.081208	0.104784	0.532845	0.131821	0.226968	0.135433	2.094074	0.045945	0.235932	0.370473	0.041346	0.345453
FCMP-27A_21.6	0.093698	0.079862	0.067354	0.04294	0.04521	0.065661	0.016831	0.018697	0.080605	0.127057	0.068687	0.011165	0.059973	0.022395	0.043844	0.080132	0.109555	0.192595	28.30217	0.026276	0.541943	0.070834	0.020401	0.075802	0.035752	0.045072	0.060567	0.047327	0.033624	0.020319	0.04686	0.054444	0.106461	0.064945	0.059635	0.267532	0.069165	0.057756	0.046935	0.029499	0.062021	0.046839	0.029857	0.025185	0.039113	0.115688	0.019842	0.030024	0.027068	0.058247	0.101607	0.077704	0.062899	0.112139	0.084582
FCMP-27A_25.139	0.006185	0.059705	0.004436	0.115673	0.006276	0.006065	0.010791	0.007127	0.018011	0.017808	0.003425	0.003106	0.005141	0.004201	0.004965	0.005522	0.037223	0.077977	8.796278	0.057916	0.032254	0.032872	0.014043	0.010767	0.00331	0.010667	0.017703	0.004102	0.015232	0.004227	0.003481	0.005153	0.064091	0.009012	0.049803	0.002575	0.015195	0.025137	0.003391	0.006085	0.004665	0.003823	0.003733	0.008849	0.00304	0.0059	0.010312	0.013651	0.003281	0.030056	0.122286	0.005285	0.008236	0.009596	0.004729
FCMP-27A_22.8	0.07097	0.053589	0.034221	0.578731	0.083337	0.075828	0.013779	1.022567	0.22624	0.014421	0.107831	0.114024	0.039804	0.070754	0.045741	0.131723	0.134525	0.238641	21.459949	0.077258	0.023867	0.043889	0.080398	0.041471	0.055737	0.067597	0.272657	0.253359	0.072445	0.027933	0.040451	0.07833	0.055713	0.049834	0.088684	0.000189	0.072706	0.077024	0.08692	0.023912	0.100823	0.196487	0.033789	0.025362	0.056777	0.053091	0.028842	0.045866	0.046311	0.042128	0.087016	0.080511	0.135166	1.533753	0.274377
FCMP-27A_30.110	0.184847	0.098021	0.08507	0.111839	0.075097	0.069689	0.052444	0.296984	0.288922	1.301573	0.182218	0.091322	0.124456	0.172847	0.159663	0.079544	0.13921	0.080214	10.197262	0.234044	1.256098	0.143618	0.15782	0.189277	0.154553	0.117538	0.169232	0.286714	0.083654	0.115169	0.091912	0.14742	0.152948	0.129923	0.157144	0.002332	0.158788	0.18054	0.144593	0.193502	0.141393	0.152681	0.162257	0.149513	0.20343	0.15026	0.235983	0.104623	0.157953	0.282547	0.133738	0.092484	0.077891	0.140059	0.168531
